Estimate,Date,Customer Tags,City,Zip,Description,Amount,Labor,Materials,Subtotal,Job Tags,Job Status,Bid Employee,Crew,Job Type
9153,6/7/2019 13:00,,Castle rock ,80109,Kitchen Cabinets,3970,3410,560,3970,My Website,approved,1,,
9148,6/6/2019 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5160,4270,890,5160,,Awaiting Approval,1,,
9165,6/6/2019 12:30,"Exterior,Archive,80016",Aurora,80016,Front Trim,4360,3270,1090,4360,My Website,approved,1,,
9162-1,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5955,4885,1070,5955,My Website,pro approved,1,,
9152,6/7/2019 12:00,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,4875,3845,1030,4875,My Website,pro declined,1,,
9167,6/18/2019 8:00,,Denver,80238,Main Level Paint 2 Coats,3995,3995,0,3995,My Website,approved,1,,
9159,6/8/2019 12:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4015,3650,365,4015,My Website,approved,1,,
9161,6/13/2019 7:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3345,2665,680,3345,My Website,approved,1,,
9158,6/11/2019 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4995,4000,995,4995,My Website,approved,1,,
9010-2,,,Commerce City,80022,Stairway Walls - 2 Coats,335,335,0,335,,approved,1,,
9154-2,6/7/2019 8:00,,Denver,80238,Deck and Pergola,1125,940,185,1125,,Awaiting Approval,1,,
9155,,,Denver,80238,Siding,635,635,0,635,,approved,1,,
9168-1,6/17/2019 16:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4365,3385,980,4365,My Website,approved,1,,
9156,,,Denver,80204,Kitchen Walls - 2 Coats,1055,880,175,1055,,approved,1,,
9157,6/12/2019 15:00,Exterior,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3495,2810,685,3495,,approved,1,,
9160,,,Brighton,80603,Exterior Residential Painting - Exterior Preparation,5380,4495,885,5380,,approved,1,,
9181,6/13/2019 14:30,,Centennial,80122,"Interior Entry, Kitchen, Hallway  2 Coats",1995,1630,365,1995,My Website,approved,1,,
9174,6/17/2019 12:30,,Aurora,80015,Main Area Walls - 2 Coats,5850,4965,885,5850,My Website,approved,1,,
9176,6/19/2019 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4340,3355,985,4340,My Website,approved,1,,
9162-2,,,Denver,80238,Front Reveal,3165,3165,0,3165,,pro approved,1,,
9164,6/15/2019 9:30,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,3495,2690,805,3495,My Website,approved,1,,
9163,,,Centennial,80016,Exterior Residential Painting - Exterior Preparation,3750,3100,650,3750,,approved,1,,
9169-1,6/18/2019 7:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5910,4870,1040,5910,My Website,pro approved,1,,
9166,6/17/2019 17:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4130,3255,875,4130,,Awaiting Approval,1,,
9170,6/18/2019 13:30,,Broomfield,80020,Exterior Residential Painting - Exterior Preparation,4140,3230,910,4140,My Website,Awaiting Approval,1,,
9175,6/18/2019 7:30,,Centennial,80015,Entry and Living Room 2 Coats,3310,3045,265,3310,My Website,pro declined,1,,
9173,6/19/2019 10:30,,Thornton,80602,Master Restroom Cabinets,365,365,0,365,My Website,approved,1,,
9168-2,6/17/2019 16:30,,Parker,80134,Deck Cleaning,840,710,130,840,,approved,1,,
9169-2,6/18/2019 7:00,,Denver,80238,Fencing,4535,3990,545,4535,,pro approved,1,,
9178,6/21/2019 13:30,,Parker,80138,"Entry, Stairway, Family Room and Kitchen - 2 Coats",2295,1885,410,2295,My Website,declined,1,,
9177,6/20/2019 11:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5035,3885,1150,5035,My Website,pro approved,1,,
9171,6/19/2019 16:30,Archive,Centennial,80112,Drywall Work,5200,5755,200,5955,,approved,1,,
9172,6/19/2019 17:00,Archive,Centennial,80121,Main Level Walls,4700,4045,655,4700,,approved,1,,
9227,7/12/2019 11:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,2995,2290,705,2995,My Website,approved,1,,
9179,6/22/2019 9:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4240,3260,980,4240,My Website,approved,1,,
9182,6/24/2019 8:00,,Aurora,80016,Bedroom Walls 2 Coats,915,760,155,915,My Website,declined,1,,
9180,,,Greenwood Village,80112,Wall Surfaces 2 Coats,2990,2545,445,2990,,pro declined,1,,
9183-1,6/25/2019 11:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3300,2415,885,3300,My Website,pro declined,1,,
9187,6/27/2019 13:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4015,3410,1005,4415,My Website,approved,1,,
9183-2,6/25/2019 11:30,,Centennial,80015,Shed,895,895,0,895,,pro declined,1,,
9186,6/27/2019 11:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,3600,2700,900,3600,My Website,pro declined,1,,
9184,,,Aurora,80015,Interior Painting- Walls 2 Coats,5345,5345,0,5345,,pro approved,1,,
9185,6/28/2019 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4940,3885,1055,4940,My Website,approved,1,,
9188,7/2/2019 11:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4485,3475,1010,4485,My Website,pro approved,1,,
9201-1,7/9/2019 12:30,no review,Centennial,80015,Study-Ceiling and Chair Rail,3300,2915,385,3300,My Website,pro approved,1,,
9189,,,Broomfield,80023,Kitchen Cabinets,5080,4635,445,5080,,approved,1,,
9190-1,,,Aurora,80015,Interior Painting 2 Coats,5625,4885,740,5625,,approved,1,,
9190-2,,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4805,3895,910,4805,,declined,1,,
9192-1,7/8/2019 11:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4523,3658,865,4523,My Website,pro approved,1,,
9191-1,7/8/2019 9:30,,Centennial,80015,Exterior Residential Painting - Exterior Preparation,4235,3290,945,4235,My Website,pro approved,1,,
9200,7/10/2019 17:00,,Wheat Ridge,80215,Basement-Scrape and Prime,4966.75,4481.75,485,4966.75,My Website,approved,1,,
9208,7/15/2019 13:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4650,3590,1060,4650,My Website,pro approved,1,,
9202,7/11/2019 13:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4165,3315,1050,4365,My Website,approved,1,,
9205,7/11/2019 11:30,,Denver,80210,Family Room-Walls,3035,3035,0,3035,My Website,approved,1,,
9191-2,7/8/2019 9:30,,Centennial,80015,Back Deck and Rails,990,785,205,990,,pro approved,1,,
9192-2,7/8/2019 11:30,,Centennial,80015,Window Repair and Prep,2463,2088,375,2463,,pro approved,1,,
9193-1,7/11/2019 8:00,,Denver,80203,Exterior Preparation-Main Building,12930,10350,2580,12930,,approved,1,,
9194,7/15/2019 11:30,,Denver,80205,,0,0,0,0,,SCHEDULED,1,,
9204-1,7/11/2019 17:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4485,3430,1055,4485,My Website,pro declined,1,,
9206,7/11/2019 14:30,,Aurora,80016,Cabinets-Laundry Room,1600,1600,0,1600,My Website,pro declined,1,,
9195,,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4320,3500,820,4320,,pro declined,1,,
9196,,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4385,2835,1550,4385,,approved,1,,
9219,7/11/2019 17:00,,Parker,80134,Back Decking,1965,1645,320,1965,My Website,approved,1,,
9197,7/15/2019 14:00,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,4430,3550,880,4430,,approved,1,,
9207,8/19/2019 7:30,,Denver,80206,Upstairs Built In and Walls-2 Coats,1475,1245,230,1475,My Website,approved,1,2,
9203-1,7/12/2019 8:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3170,2295,875,3170,My Website,pro approved,1,,
9199-1,7/17/2019 13:00,Nextdoor,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3435,2645,790,3435,cabinets,approved,1,,
9201-2,7/9/2019 12:30,no review,Centennial,80015,Main Area-Popcorn Scrape,9975,8520,1455,9975,,Awaiting Approval,1,,
9203-2,7/12/2019 8:00,,Aurora,80016,Front and Back Deck Surfaces,1275,1050,225,1275,,pro approved,1,,
9204-2,7/11/2019 17:00,,Aurora,80015,Sheds,3445,3445,0,3445,,pro declined,1,,
9215,7/18/2019 8:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3865,2995,870,3865,My Website,Awaiting Approval,1,,
9214,7/17/2019 10:30,,aurora,80016,Front Study-2Coats,8010,6950,1060,8010,My Website,approved,1,,
9232-1,7/17/2019 8:00,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,5740,4720,1020,5740,My Website,Awaiting Approval,1,,
9193-2,7/11/2019 8:00,,Denver,80203,Exterior Residential Painting - Exterior Preparation,4880,3970,910,4880,,approved,1,,
9209,7/18/2019 12:30,,Aurora,80014,Exterior Residential Painting - Exterior Preparation,4345,3460,885,4345,,pro declined,1,,
9210,,,Aurora,80016,Fence,1530,1295,235,1530,,pro approved,1,,
9218,7/19/2019 9:30,,Denver,80238,Basement-2 Coats,1890,1525,365,1890,My Website,declined,1,,
9211,7/19/2019 8:00,,Aurora,80016,Main Area-Walls,4490,3970,520,4490,,pro declined,1,,
9212,7/18/2019 9:00,"Littleton,80130",Littleton,80130,,0,0,0,0,,SCHEDULED,1,,
9217,7/18/2019 16:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5290,4230,1060,5290,My Website,approved,1,,
9213,7/18/2019 14:30,,Aurora,80016,,0,0,0,0,,SCHEDULED,1,,
9228,7/22/2019 11:00,,Aurora,80012,Wall Surfaces,3985,3300,685,3985,My Website,Awaiting Approval,1,,
9216,7/22/2019 15:00,,Centennial,,Exterior Residential Painting - Exterior Preparation,4215,3545,1070,4615,,Awaiting Approval,1,,
9199-2,7/17/2019 13:00,Nextdoor,Aurora,80016,Kitchen Cabinets,3275,2945,330,3275,,pro approved,1,,
9220,,"Littleton,80130",Littleton,80130,Kitchen Cabinets,4302.85,3957.85,345,4302.85,,approved,1,,
9221,,,Castle rock ,80109,Entertainment Wall Ship lap,3995,2985,1010,3995,,Awaiting Approval,1,,
9223-1,7/24/2019 7:00,"no review,noreview",Aurora,80015,Exterior Residential Painting - Exterior Preparation,4235,3380,1055,4435,My Website,approved,1,,
9222,7/24/2019 9:30,,Highlands Ranch,80126,"Entry, Living Room, Dining Room, Stairway, Bathroom",3550,3095,455,3550,My Website,declined,1,,
9224,7/25/2019 11:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4985,3985,1000,4985,,Awaiting Approval,1,,
9225,,,,,,0,0,0,0,,UNSCHEDULED,3,,
9226,8/19/2019 9:30,,Denver,80238,Main Level Baseboard,3245,3245,0,3245,,approved,1,,
9229,,,,,,0,0,0,0,,UNSCHEDULED,3,,
9230,7/26/2019 9:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5240,5240,0,5240,,approved,1,,
9231,7/30/2019 9:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4675,3665,1010,4675,,Awaiting Approval,1,,
9223-2,7/24/2019 7:00,"no review,noreview",Aurora,80015,Kitchen Cabinets,2765,2680,285,2965,,pro approved,1,,
9235,7/30/2019 17:00,"no review,noreview",Aurora,80016,Exterior Residential Painting - Exterior Preparation,4585,3620,965,4585,My Website,approved,1,,
9233,,,Parker,80134,Gutter Painting,685,685,0,685,,approved,1,,
9232-2,7/17/2019 8:00,,DENVER,80238,Porch Floor,1075,810,265,1075,,Awaiting Approval,1,,
9234,7/30/2019 10:00,,Littleton,80125,Hot Tub Pad (labor and materials),4635,4635,0,4635,,approved,1,,
9236,7/31/2019 15:30,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4250,3435,815,4250,My Website,approved,1,,
9237,8/5/2019 12:30,,Centennial,80122,Main Area,8640.25,9095,0,9095,,pro approved,1,,
9238,,,Denver,80216,Office Painting,4255,3770,485,4255,,Awaiting Approval,1,,
9242,,,Denver,80230,"Painting quotes - Free Exterior Consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,My Website,UNSCHEDULED,1,,
9239,8/1/2019 11:30,,Denver,80238,Exterior Residential Painting - Exterior Painting - 2 Coats,4190,3310,880,4190,My Website,approved,1,,
9240,8/1/2019 13:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,3490,2765,875,3640,,pro declined,1,,
9241,8/8/2019 10:00,,Denver,80231,,0,0,0,0,,SCHEDULED,1,,
9243,8/8/2019 17:00,,Aurora,80016,Trim-Main Level,3766.8,3590,440,4030,My Website,approved,1,,
9244,8/6/2019 10:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4995,4015,980,4995,,pro approved,1,,
9245,8/5/2019 10:00,,Arvada,80005,Exterior Residential Painting - Exterior Preparation,4815,3790,1025,4815,,approved,1,,
9246-1,8/7/2019 13:30,,Littleton,80129,Family Room-2 Coats,6420,5435,985,6420,,Awaiting Approval,1,,
9247,8/7/2019 9:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5325,4750,825,5575,,approved,1,,
9248,8/7/2019 8:30,"Exterior,Stapleton,no review",Denver,80238,master Suite,1790,1305,485,1790,,approved,1,,
9249,8/8/2019 15:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5185,4900,1085,5985,,approved,1,,
9250,8/7/2019 11:00,,Arvada,80004,Back of Home,1165,980,185,1165,,pro approved,1,,
9251,8/8/2019 12:30,,Denver,80210,Exterior Residential Painting - Exterior Preparation,4695,3700,995,4695,My Website,Awaiting Approval,1,,
9253,8/9/2019 8:30,,Centennial,80122,Master Suite,490,490,0,490,,approved,1,,
9254,8/12/2019 9:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,3990,3130,860,3990,,approved,1,,
9255,8/15/2019 9:00,,Littleton,80127,Exterior Residential Painting - Exterior Preparation,2905,2520,385,2905,,approved,1,,
9256-1,8/14/2019 14:00,,Lone Tree,80124,Entry - 2 Coats,3775,3210,565,3775,,Awaiting Approval,1,,
9257,,,Littleton,80130,,0,0,0,0,,UNSCHEDULED,1,,
9258,8/12/2019 17:00,,Aurora,80016,Interior Walls,3720,3130,590,3720,,pro declined,1,,
9259,8/14/2019 9:30,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,4362.57,3505,857.57,4362.57,,approved,1,,
9260,8/14/2019 8:00,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4200,3550,850,4400,My Website,approved,1,,
9261,,,Aurora,80018,Fencing,1795,1795,0,1795,,pro approved,1,,
9266,8/14/2019 17:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5455,4385,1070,5455,My Website,approved,1,,
9262,8/21/2019 15:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,3795,2925,870,3795,My Website,approved,1,,
9263,8/16/2019 10:00,,Denver,80238,Exterior Residential Painting - Exterior Preparation,5810,4785,1025,5810,,approved,1,,
9265,8/19/2019 8:00,,Castle Rock,80214,Exterior Residential Painting - Exterior Preparation,3855,3100,755,3855,My Website,Awaiting Approval,1,,
9264,8/16/2019 9:00,,Denver,80328,Siding Replacement,720,720,0,720,,approved,1,,
9267-1,8/26/2019 8:00,,Centennial,80015,Pergola ,1920,1680,240,1920,,approved,1,,
9256-2,8/14/2019 14:00,,Lone Tree,80124,Entry - 2 Coats,2430,2000,430,2430,,approved,1,,
9268,8/21/2019 9:00,,Aurora,80019,Exterior Residential Painting - Exterior Preparation,3965,3170,795,3965,,Awaiting Approval,1,,
9269,8/21/2019 8:00,"Archive,interior,Exterior,80111,no review",Centennial,80111,Powder Room Ceiling,245,245,0,245,,approved,1,,
9270,,,Aurora,80018,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,3,,
9271,,,Arvada,80004,Custom Services - Custom Job,0,0,0,0,,UNSCHEDULED,3,,
9246-2,8/7/2019 13:30,,Littleton,80129,Deck,1720,1385,335,1720,,Awaiting Approval,1,,
9272,8/22/2019 12:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,2625,2130,495,2625,My Website,pro declined,1,,
9274-1,8/22/2019 17:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4765,3770,995,4765,My Website,pro approved,1,,
9273-1,8/22/2019 15:30,,Denver,80238,Exterior Residential Painting - Exterior Preparation,4385,3335,1050,4385,My Website,pro approved,1,,
9275,8/22/2019 8:00,,Aurora,80017,Left Reveal,560,560,0,560,,approved,1,,
9276,8/23/2019 12:30,,Aurora,80015,Front Upper Right Reveal,985,735,250,985,My Website,pro declined,1,,
9277,8/21/2019 16:30,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4375,3365,1010,4375,,pro approved,1,,
9278,8/26/2019 11:00,,Aurora,80016,Interior Main Area - Walls 2 Coats,7845,6865,980,7845,,pro declined,1,,
9274-2,8/22/2019 17:00,,Aurora,80015,Kitchen,470,385,85,470,,approved,1,,
9274-3,8/22/2019 17:00,,Aurora,80015,Deck Surface,3540,2440,1100,3540,,pro approved,1,,
9281,,no review,Highlands Ranch,80126,Exterior Residential Painting - Exterior Preparation,4675,3485,1190,4675,My Website,approved,1,,
9273-2,8/22/2019 15:30,,Denver,80238,Fence,945,945,0,945,,pro approved,1,,
9273-3,8/22/2019 15:30,,Denver,80238,Main Level Walls - 2 Coats,6355,5590,765,6355,,pro approved,1,,
9280,8/30/2019 11:00,no review,Elizabeth,80107,Interior - Main Area 2 coats,5680,5535,820,6355,,approved,1,,
9282,,,Denver,80238,Side Paneling,1875,1485,390,1875,,approved,3,,
9252,8/9/2019 10:00,,Aurora,80015,Kitchen Cabinets,3995,3745,250,3995,,Awaiting Approval,1,,
9283,8/29/2019 8:30,,Aurora,80014,Interior Paint - 2 Coats,3470,2950,520,3470,,declined,1,,
9284,8/29/2019 11:00,,Aurora,80015,Exterior Residential Painting - Exterior Preparation,4995,4095,900,4995,,Awaiting Approval,1,,
9267-2,8/26/2019 8:00,,Centennial,80015,Interior Main Level - Walls 2 Coats,8325,7110,1215,8325,,declined,1,,
9285,,,Aurora,80016,"Painting quotes - Free interior consultation (click ""+""  to add to cart, then click ""next"" to schedule)",0,0,0,0,My Website,UNSCHEDULED,1,1,
9286,8/30/2019 8:30,,Centennial,80111,Main Area Walls 2 Coats,3340,2610,730,3340,,Awaiting Approval,1,,
9288-1,9/4/2019 10:30,,Lone Tree,80124,Exterior Residential Painting - Exterior Preparation,3910,3285,825,4110,My Website,approved,1,,
9287,8/29/2019 12:30,,AURORA,80013,Exterior Residential Painting - Exterior Preparation,3800,2760,1040,3800,,approved,1,,
9289-1,9/4/2019 9:00,,Denver,80238,Basement Drywall,2460,2130,330,2460,My Website,approved,1,,
9290,9/4/2019 14:30,,Denver,80238,Exterior Brick,4440,3680,760,4440,My Website,pro declined,1,,
9291,9/6/2019 17:00,,Aurora,80013,Exterior Residential Painting - Exterior Preparation,3910,2965,945,3910,My Website,approved,1,,
9292,9/6/2019 13:00,,Arvada,80403,Newel Post,3549,3461,88,3549,,Awaiting Approval,1,,
9293,,,Parker,80134,Exterior Residential Painting - Exterior Preparation,4195,3250,945,4195,,approved,1,,
9294,,,Denver,80231,Paint Repair,3915,3915,0,3915,,Awaiting Approval,1,,
9288-2,9/4/2019 10:30,,Lone Tree,80124,Interior Main Area 2 Coats,8280,7465,1115,8580,,approved,1,,
9298,9/10/2019 12:30,,DENVER,80238,Exterior Residential Painting - Exterior Preparation,4715,3590,1125,4715,My Website,approved,1,,
9297,9/9/2019 10:00,,Aurora,80016,Exterior Residential Painting - Exterior Preparation,5715,4875,840,5715,,approved,1,,
9300,9/9/2019 8:00,no review,Denver,80238,Exterior Residential Painting - Exterior Preparation,5578,4478,1100,5578,My Website,approved,1,,
9299,9/11/2019 9:30,,PARKER,80134,Exterior Residential Painting - Exterior Preparation,4325,3920,905,4825,My Website,approved,1,,
9301-1,9/9/2019 8:00,,Denver,80238,Interior Walls,4895,4155,740,4895,My Website,declined,1,,
9288-3,9/4/2019 10:30,,Lone Tree,80124,Kitchen Cabinets,3000,3305,375,3680,,Awaiting Approval,1,,
9302,,,Westminster,80021,Front Deck,2150,2150,0,2150,,pro approved,1,,
